Price,Close,High,Low,Open,Volume
Ticker,QCOM,QCOM,QCOM,QCOM,QCOM
Date,,,,,
2018-01-02,52.95182418823242,53.05740694928322,52.1153162614189,52.28586587984162,6329600
2018-01-03,53.55281448364258,53.650267865683254,52.53763377957699,52.9680694067134,6844200
2018-01-04,53.62590026855469,54.03197251798632,53.5284468942404,53.74772318261834,5060100
2018-01-05,53.98325729370117,54.08883387035018,53.195475971138,53.63403483718881,5421800
2018-01-08,53.820831298828125,54.03199067441652,53.55282823323568,53.804591129708804,4266900
2018-01-09,53.00868225097656,53.48785084967691,52.740679207003275,53.30917802291313,7632300
2018-01-10,53.00055694580078,53.39038287375691,52.69193804031649,53.179229744518764,6569300
2018-01-11,53.138633728027344,53.19548361534186,52.903110995960645,52.95183770046651,4233100
2018-01-12,53.0980110168457,53.52032967313005,52.85437135776303,53.28480699869676,5007200
2018-01-16,55.428871154785156,55.75373024694134,53.62590907968158,53.78834172384557,24478800
2018-01-17,55.24208068847656,55.956772001939555,54.60860880330523,55.6481530452451,12559100
2018-01-18,55.26644515991211,55.37202173235545,54.81163994869587,55.02279928975442,6797900
2018-01-19,55.25832748413086,55.42887713176482,55.02280477182515,55.25832748413086,8864300
2018-01-22,55.76996612548828,55.83493917815853,54.990308081959284,55.07152129971143,8566200
2018-01-23,55.501956939697266,55.956762112294264,55.42074372193145,55.71311626282547,7825600
2018-01-24,55.2096061706543,55.46136907560685,54.72231433424241,55.38827282167583,12383100
2018-01-25,54.754783630371094,55.526324664323845,54.64920707034796,55.33952869302169,9122200
2018-01-26,55.65626907348633,55.65626907348633,54.90097433913235,55.17710672825173,7919000
2018-01-29,54.6735725402832,55.46947695008594,54.6085994872031,55.35577720528146,9745300
2018-01-30,54.40556716918945,55.15274493980844,54.194414026088175,54.762912790086716,8059500
2018-01-31,55.428871154785156,55.53444772636289,54.787276151723944,54.8603723906407,13915600
2018-02-01,54.25126266479492,55.51008309812194,53.86143052396686,54.4136891090398,16838500
2018-02-02,53.658390045166016,54.44617124821107,53.48784043360541,53.74772644115078,10971700
2018-02-05,50.13368225097656,54.04822179717575,49.13474483518845,53.845185661493154,35996000
2018-02-06,52.302120208740234,52.40769678970259,50.51540123923305,50.604737652421335,24458700
