Price,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META
Date,,,,,
2018-05-14,185.3452911376953,186.55682929767724,184.90834096157855,186.4078758980647,15646700
2018-05-15,183.04141235351562,184.0046696960543,181.92917128948,183.59752530906263,15429400
2018-05-16,181.9291534423828,183.04139439730852,181.39290604583692,182.42568498297499,16975500
2018-05-17,182.48526000976562,182.7831819543688,180.95594958511393,181.41275010095788,14840700
2018-05-18,181.41278076171875,182.9123159135816,181.3432742162297,182.21717469398067,13130500
2018-05-21,183.210205078125,184.01458371330392,181.85963874222602,182.495198479535,13532900
2018-05-22,182.52499389648438,184.13375120860323,182.1575502594038,183.6471448529775,12731400
2018-05-23,185.6034698486328,185.61341017657847,180.916211245845,181.23399868132708,16628100
2018-05-24,184.64022827148438,185.5042035350073,183.7464774779823,184.5905872352443,12354700
2018-05-25,183.63723754882812,185.0374602397614,183.17049665185036,184.7296130849338,10965100
2018-05-29,184.45155334472656,185.51412302653,182.43563637985392,183.0612558549565,16398900
2018-05-30,186.36813354492188,186.69584615706088,183.96492287550814,185.24596749301608,13736900
2018-05-31,190.4496612548828,191.38314309701488,186.17948642009893,186.56678046598967,30782600
2018-06-01,192.64431762695312,193.20043054253244,190.73763827942096,191.73070138665275,17307200
2018-06-04,191.93923950195312,192.6343806585542,190.14179767097724,190.50922617812193,18939800
2018-06-05,191.6016082763672,193.64731595895012,191.28382079215095,192.95217477840367,15544300
2018-06-06,190.0126953125,191.1944428595249,187.7981687794442,189.70484816722947,22558900
2018-06-07,186.87461853027344,189.6452732375822,185.47441098824973,189.426798129732,21503200
2018-06-08,187.78822326660156,188.16557691045097,185.13673166687238,186.229107050766,12677100
2018-06-11,190.2113037109375,191.26396334867428,187.49032045467757,187.5002456308384,12928900
2018-06-12,191.06533813476562,191.93923852888557,190.23116875107328,190.83693786009906,11562700
2018-06-13,191.07530212402344,193.15080066411934,190.57877050277892,191.40301481239794,15853800
2018-06-14,195.4447479248047,195.91148879795227,191.57180786351674,191.7604922785688,19120900
2018-06-15,194.49142456054688,195.7029628193445,193.2898114782196,194.4318280429011,21860900
2018-06-18,196.93435668945312,198.19555117016031,192.78335987282324,193.44871038469225,16826000
2018-06-19,196.1200714111328,196.58681236208594,192.44572517546902,194.87874231879857,19994000
2018-06-20,200.59877014160156,202.1380211609003,197.43089605004315,197.71889286906236,28230900
2018-06-21,200.1022186279297,201.97910731812365,198.7019959923883,201.35347270374544,19045700
2018-06-22,200.34054565429688,200.83707718051684,197.92739455733914,199.76456726552894,17420200
2018-06-25,194.9879608154297,198.61263534937925,191.7704306677108,198.61263534937925,25275100
2018-06-26,197.61956787109375,197.71888024778335,194.868778688557,196.22928551508667,17897600
